,Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus
3112,CASC,"LC-2, Xichang Satellite Launch Center, China",2000,16:45:00,Long March 3A,ChinaSat-22,Active,69.7,Success
3132,CASC,"LC-3, Xichang Satellite Launch Center, China",2000,11:50:00,Long March 3,Fengyun-2B,Retired,,Success
3155,CASC,"LC-2, Xichang Satellite Launch Center, China",2000,16:02:00,Long March 3A,Beidou-1A,Active,69.7,Success
3165,CASC,"LC-2, Xichang Satellite Launch Center, China",2000,16:20:00,Long March 3A,Beidou-1B,Active,69.7,Success
3167,CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",2001,17:00:00,Long March 2F,Shenzhou 2,Retired,,Success
3221,CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",2002,14:15:00,Long March 2F,Shenzhou 3,Retired,,Success
3227,CASC,"LC-7, Taiyuan Satellite Launch Center, China",2002,01:50:00,Long March 4B,Fengyun-1D & Haiyang-1A,Active,64.68,Success
3248,CASC,"LC-7, Taiyuan Satellite Launch Center, China",2002,03:17:00,Long March 4B,Ziyuan ll-02,Active,64.68,Success
3258,CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",2002,16:40:00,Long March 2F,Shenzhou 4,Retired,,Success
3276,CASC,"LC-2, Xichang Satellite Launch Center, China",2003,16:34:00,Long March 3A,Beidou-1C,Active,69.7,Success
3298,CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",2003,01:00:00,Long March 2F,Shenzhou 5,Retired,,Success
3301,CASC,"LC-7, Taiyuan Satellite Launch Center, China",2003,03:16:00,Long March 4B,CBERS-2 & Chuangxin 1(01),Active,64.68,Success
3303,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2003,07:20:00,Long March 2D,FSW-3 No.1,Active,29.75,Success
3304,CASC,"LC-2, Xichang Satellite Launch Center, China",2003,16:01:00,Long March 3A,Chinasat-20,Active,69.7,Success
3310,CASC,"LC-3, Xichang Satellite Launch Center, China",2003,19:06:00,Long March 2C,Double Star 1,Active,30.8,Success
3319,CASC,"LC-3, Xichang Satellite Launch Center, China",2004,15:59:00,Long March 2C,Shiyan-1 & Nano Satellite 1,Active,30.8,Success
3332,CASC,"LC-7, Taiyuan Satellite Launch Center, China",2004,07:05:00,Long March 2C,Double Star 2,Active,30.8,Success
3334,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2004,07:50:00,Long March 2C,FSW-4 No.1,Active,30.8,Success
3337,CASC,"LC-7, Taiyuan Satellite Launch Center, China",2004,23:14:00,Long March 4B,Shijian-6A & 6B,Active,64.68,Success
3340,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2004,08:00:00,Long March 2D,FSW-3 No.2,Active,29.75,Success
3341,CASC,"LC-2, Xichang Satellite Launch Center, China",2004,01:20:00,Long March 3A,Fengyun-2C,Active,69.7,Success
3342,CASC,"LC-7, Taiyuan Satellite Launch Center, China",2004,03:10:00,Long March 4B,Ziyuan ll-03,Active,64.68,Success
3345,CASC,"LC-3, Xichang Satellite Launch Center, China",2004,10:45:00,Long March 2C,Shiyan-2,Active,30.8,Success
3359,CASC,"LC-2, Xichang Satellite Launch Center, China",2005,12:00:00,Long March 3B,Apstar 6,Retired,,Success
3368,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2005,22:40:00,Long March 2D,Shijian-7,Active,29.75,Success
3371,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2005,07:30:00,Long March 2C,FSW-4 No. 2,Active,30.8,Success
3376,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2005,08:45:00,Long March 2D,FSW-3 No. 3,Active,29.75,Success
3381,CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",2005,20:32:00,Long March 2F,Shenzhou 6,Retired,,Success
3400,CASC,"LC-7, Taiyuan Satellite Launch Center, China",2006,22:48:00,Long March 4C,Yaogan 1,Active,64.68,Success
3417,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2006,07:00:00,Long March 2C,Shijian-8,Active,30.8,Success
3420,CASC,"LC-2, Xichang Satellite Launch Center, China",2006,16:02:00,Long March 3A,Chinasat-22A,Active,69.7,Success
3424,CASC,"LC-7, Taiyuan Satellite Launch Center, China",2006,23:34:00,Long March 4B,Shijian-6C & 6D,Active,64.68,Success
3426,CASC,"LC-2, Xichang Satellite Launch Center, China",2006,16:20:00,Long March 3B,SinoSat 2,Retired,,Success
3430,CASC,"LC-2, Xichang Satellite Launch Center, China",2006,00:53:00,Long March 3A,Fengyun-2D,Active,69.7,Success
3439,CASC,"LC-2, Xichang Satellite Launch Center, China",2007,16:28:00,Long March 3A,Beidou-1D,Active,69.7,Success
3445,CASC,"LC-7, Taiyuan Satellite Launch Center, China",2007,03:27:00,Long March 2C,Haiyang-1B,Active,30.8,Success
3446,CASC,"LC-2, Xichang Satellite Launch Center, China",2007,20:11:00,Long March 3A,Compass-M1,Active,69.7,Success
3452,CASC,"LC-2, Xichang Satellite Launch Center, China",2007,16:01:00,Long March 3B/E,NIGCOMSAT-1,Active,29.15,Success
3453,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2007,07:12:00,Long March 2D,Yaogan 2 & ZDPS-1,Active,29.75,Success
3454,CASC,"LC-2, Xichang Satellite Launch Center, China",2007,16:08:00,Long March 3A,SinoSat 3,Active,69.7,Success
3463,CASC,"LC-2, Xichang Satellite Launch Center, China",2007,20:08:00,Long March 3B,Chinasat-6B,Retired,,Success
3471,CASC,"LC-7, Taiyuan Satellite Launch Center, China",2007,03:26:00,Long March 4B,CBERS-2B,Active,64.68,Success
3478,CASC,"LC-3, Xichang Satellite Launch Center, China",2007,10:05:00,Long March 3B,Chang'e 1,Retired,,Success
3481,CASC,"LC-7, Taiyuan Satellite Launch Center, China",2007,22:48:00,Long March 4C,Yaogan 3,Active,64.68,Success
3500,CASC,"LC-2, Xichang Satellite Launch Center, China",2008,15:35:00,Long March 3C,Tianlian I-01,Retired,20.14,Success
3505,CASC,"LC-7, Taiyuan Satellite Launch Center, China",2008,03:02:00,Long March 4C,Fengyun-3A,Active,64.68,Success
3507,CASC,"LC-2, Xichang Satellite Launch Center, China",2008,12:15:00,Long March 3B,ChinaSat 9,Retired,,Success
3519,CASC,"LC-7, Taiyuan Satellite Launch Center, China",2008,03:25:00,Long March 2C/SMA,Huanjing-1A & 1B,Active,,Success
3522,CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",2008,13:10:00,Long March 2F/G,Shenzhou 7,Active,,Success
3527,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2008,01:15:00,Long March 4B,Shijian-6E & F,Active,64.68,Success
3529,CASC,"LC-2, Xichang Satellite Launch Center, China",2008,16:53:00,Long March 3B/E,VENESAT 1,Active,29.15,Success
3530,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2008,00:15:00,Long March 2D,Shiyan-3 & Chuangxin-1(02),Active,29.75,Success
3531,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2008,00:15:00,Long March 2D,Shiyan-3 & Chuangxin-1(02),Active,29.75,Success
3654,CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",2011,21:16:00,Long March 2F/T,Tiangong-1,Active,,Success
3659,CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",2011,21:58:00,Long March 2F/G,Shenzhou 8,Active,,Success
3680,CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",2012,10:37:00,Long March 2F/G,Shenzhou 9,Active,,Success
3717,CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",2013,09:38:00,Long March 2F/G,Shenzhou 10,Active,,Success
3834,CASC,"LC-16, Taiyuan Satellite Launch Center, China",2015,23:01:00,Long March 6,Demo Flight,Active,19,Success
3836,CASC,"Site 95, Jiuquan Satellite Launch Center, China",2015,,Long March 11,Pujian 1 & Others,Active,5.3,Success
3853,CASC,"LC-3, Xichang Satellite Launch Center, China",2016,16:57:00,Long March 3B/E,Belintersat 1,Active,29.15,Success
3859,CASC,"LC-2, Xichang Satellite Launch Center, China",2016,07:29:00,Long March 3C/YZ-1,BeiDou M3-S,Active,,Success
3874,CASC,"LC-2, Xichang Satellite Launch Center, China",2016,20:11:00,Long March 3A,BeiDou IGSO-6,Active,69.7,Success
3877,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2016,17:38:00,Long March 2D,Shijian-10,Active,29.75,Success
3883,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2016,02:43:00,Long March 2D,Yaogan 30,Active,29.75,Success
3887,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2016,03:17:00,Long March 4B,"Ziyuan III-02 & ??uSat-1, 2",Active,64.68,Success
3891,CASC,"LC-3, Xichang Satellite Launch Center, China",2016,15:30:00,Long March 3C/E,BeiDou-2 G7,Active,20,Success
3897,CASC,"LC-201, Wenchang Satellite Launch Center, China",2016,12:00:00,Long March 7/YZ-1A,Demo Flight,Active,,Success
3898,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2016,03:21:00,Long March 4B,Shijian 16-02,Active,64.68,Success
3903,CASC,"LC-3, Xichang Satellite Launch Center, China",2016,16:22:00,Long March 3B/E,Tiantong-1 01,Active,29.15,Success
3904,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2016,22:55:00,Long March 4C,Gaofen-3,Active,64.68,Success
3906,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2016,17:40:00,Long March 2D,"QUESS, Lixing-1, & 3CAT 2",Active,29.75,Success
3909,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2016,18:50:00,Long March 4C,Gaofen-10,Active,64.68,Failure
3914,CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",2016,14:04:00,Long March 2F/T,Tiangong-2,Active,,Success
3919,CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",2016,23:30:00,Long March 2F/G,Shenzhou 11,Active,,Success
3923,CASC,"LC-101, Wenchang Satellite Launch Center, China",2016,12:42:00,Long March 5/YZ-2,Shijian-17,Active,,Success
3924,CASC,"Site 95, Jiuquan Satellite Launch Center, China",2016,23:42:00,Long March 11,"XPNAV 1, Xiaoxiang 1 & Others",Active,5.3,Success
3926,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2016,23:14:00,Long March 2D,Yunhai-1,Active,29.75,Success
3930,CASC,"LC-2, Xichang Satellite Launch Center, China",2016,15:24:00,Long March 3C/E,Tianlian I-04,Active,20,Success
3936,CASC,"LC-3, Xichang Satellite Launch Center, China",2016,16:11:00,Long March 3B/E,Fengyun 4A,Active,29.15,Success
3940,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2016,19:22:00,Long March 2D,"TanSat & Spark 1, 2",Active,29.75,Success
3942,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2016,03:23:00,Long March 2D,"SuperView-1 1, 2 & Bayi Kepu 1",Active,29.75,Partial Failure
3943,CASC,"LC-2, Xichang Satellite Launch Center, China",2017,15:18:00,Long March 3B/E,TJS 2,Active,29.15,Success
3961,CASC,"LC-2, Xichang Satellite Launch Center, China",2017,11:04:00,Long March 3B/E,Shijian 13,Active,29.15,Success
3964,CASC,"LC-201, Wenchang Satellite Launch Center, China",2017,11:41:00,Long March 7/YZ-1A,Tianzhou 1,Active,,Success
3978,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2017,03:15:00,Long March 4B,HXMT & Others,Active,64.68,Success
3979,CASC,"LC-2, Xichang Satellite Launch Center, China",2017,16:12:00,Long March 3B/E,ChinaSat 9A,Active,29.15,Partial Failure
3985,CASC,"LC-101, Wenchang Satellite Launch Center, China",2017,11:23:00,Long March 5,Shijian-18,Active,,Failure
4004,CASC,"LC-3, Xichang Satellite Launch Center, China",2017,04:21:00,Long March 2C,"Yaogan-30 A, B & C",Active,30.8,Success
4006,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2017,04:13:00,Long March 2D,VRSS-2,Active,29.75,Success
4015,CASC,"LC-2, Xichang Satellite Launch Center, China",2017,11:45:00,Long March 3B/YZ-1,BeiDou-3 M1 & M2,Active,,Success
4018,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2017,18:35:00,Long March 4C,Fengyun 3D,Active,64.68,Success
4020,CASC,"LC-16, Taiyuan Satellite Launch Center, China",2017,04:50:00,Long March 6,"Jilin-1 Video 04, 05 & 06",Active,19,Success
4021,CASC,"LC-3, Xichang Satellite Launch Center, China",2017,18:10:00,Long March 2C,"Yaogan-30 D, E, & F",Active,30.8,Success
4024,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2017,04:11:00,Long March 2D,LKW-1,Active,29.75,Success
4025,CASC,"LC-2, Xichang Satellite Launch Center, China",2017,16:41:00,Long March 3B/E,Alcomsat-1,Active,29.15,Success
4032,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2017,04:14:00,Long March 2D,LKW-2,Active,29.75,Success
4033,CASC,"LC-3, Xichang Satellite Launch Center, China",2017,19:44:00,Long March 2C,"Yaogan-30 G, H & I",Active,30.8,Success
4036,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2018,03:24:00,Long March 2D,SuperView 03 & 04,Active,29.75,Success
4037,CASC,"LC-2, Xichang Satellite Launch Center, China",2018,23:18:00,Long March 3B/YZ-1,BeiDou-3 M7 & M8,Active,,Success
4040,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2018,07:20:00,Long March 2D,LKW-3,Active,29.75,Success
4042,CASC,"Site 95, Jiuquan Satellite Launch Center, China",2018,04:12:00,Long March 11,"Jilin-1 07, 08 & Others",Active,5.3,Success
4045,CASC,"LC-3, Xichang Satellite Launch Center, China",2018,05:39:00,Long March 2C,"Yaogan 30 J, K & L",Active,30.8,Success
4049,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2018,07:50:00,Long March 2D,CSES & Rideshares,Active,29.75,Success
4052,CASC,"LC-2, Xichang Satellite Launch Center, China",2018,05:10:00,Long March 3B/YZ-1,BeiDou-3 M3 & M4,Active,,Success
4059,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2018,07:10:00,Long March 2D,LKW-4,Active,29.75,Success
4063,CASC,"LC-2, Xichang Satellite Launch Center, China",2018,17:50:00,Long March 3B/YZ-1,BeiDou-3 M9 & M10,Active,,Success
4065,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2018,03:22:00,Long March 4C,Gaofen-1 02-04,Active,64.68,Success
4068,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2018,04:25:00,Long March 4C,"Yaogan 31 A, B, & C",Active,64.68,Success
4074,CASC,"Site 95, Jiuquan Satellite Launch Center, China",2018,04:42:00,Long March 11,Zhuhai-1 2A to 2D,Active,5.3,Success
4076,CASC,"LC-2, Xichang Satellite Launch Center, China",2018,16:05:00,Long March 3B/E,Apstar 6C,Active,29.15,Success
4078,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2018,18:28:00,Long March 4C,Gaofen 5,Active,64.68,Success
4080,CASC,"LC-3, Xichang Satellite Launch Center, China",2018,21:28:00,Long March 4C,"Queqiao, Longjiang 1 & 2",Active,64.68,Success
4083,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2018,04:13:00,Long March 2D,Gaofen 6 & Luojia 1,Active,29.75,Success
4085,CASC,"LC-2, Xichang Satellite Launch Center, China",2018,13:07:00,Long March 3A,Fengyun 2H,Active,69.7,Success
4089,CASC,"LC-3, Xichang Satellite Launch Center, China",2018,03:30:00,Long March 2C,XJSS A & B,Active,30.8,Success
4091,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2018,03:56:00,Long March 2C,PRSS-1 & PakTES-1A,Active,30.8,Success
4092,CASC,"LC-2, Xichang Satellite Launch Center, China",2018,20:50:00,Long March 3A,BeiDou-2 I7,Active,69.7,Success
4098,CASC,"LC-3, Xichang Satellite Launch Center, China",2018,01:48:00,Long March 3B/YZ-1,BeiDou-3 M5 & M6,Active,,Success
4099,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2018,03:00:00,Long March 4B,Gaofen 11,Active,64.68,Success
4103,CASC,"LC-3, Xichang Satellite Launch Center, China",2018,23:52:00,Long March 3B/YZ-1,BeiDou-3 M11 & M12,Active,,Success
4105,CASC,"Taiyuan Satellite Launch Center, China",2018,03:15:00,Long March 2C,Haiyang 1C (HY-1C),Active,30.8,Success
4109,CASC,"LC-2, Xichang Satellite Launch Center, China",2018,14:07:00,Long March 3B/YZ-1,BeiDou-3 M13 & M14,Active,,Success
4114,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2018,02:43:00,Long March 2C,Yaogan-32 Group 01,Active,30.8,Success
4116,CASC,"LC-3, Xichang Satellite Launch Center, China",2018,04:23:00,Long March 3B/YZ-1,BeiDou-3 M15 & M16,Active,,Success
4119,CASC,"LC-9, Taiyuan Satellite Launch Center, China",2018,22:57:00,Long March 4B,Haiyang-2B,Active,64.68,Success
4122,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2018,00:47:00,Long March 2C,"CFOSAT, Zhaojin-1, Hongyan-1, & Others",Active,30.8,Success
4124,CASC,"LC-2, Xichang Satellite Launch Center, China",2018,15:57:00,Long March 3B/E,Beidou-3 G1,Active,29.15,Success
4132,CASC,"LC-3, Xichang Satellite Launch Center, China",2018,18:07:00,Long March 3B/YZ-1,BeiDou-3 M17 & M18,Active,,Success
4133,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2018,23:40:00,Long March 2D,"Shiyan-6, Jiading-1 (OKW-01), & Others",Active,29.75,Success
